unique_id,name,theme,entity,type,investment,lga,feature_type,lat,long,description,investment_millions,investment_bundled,has_location,lga_standard
I_0475,"Eltham Woods Childcare Cooperative, Hughesdale Kindergarten and Research Preschool",Education,Department of Education,Early Childhood Sector Supports and Regulation ,$1.5 million,Nillumbik,Point,-37.70801961,145.1675783,Funding is provided for improvements to Eltham Woods Childcare Cooperative.,1.5,False,True,Nillumbik
I_0476,"Eltham Woods Childcare Cooperative, Hughesdale Kindergarten and Research Preschool",Education,Department of Education,Early Childhood Sector Supports and Regulation ,$1 million,Monash,Point,-37.89715385,145.0777977,Funding is provided for improvements to Hughesdale Kindergarten.,1.0,False,True,Monash
I_0477,"Eltham Woods Childcare Cooperative, Hughesdale Kindergarten and Research Preschool",Education,Department of Education,Early Childhood Sector Supports and Regulation ,"$400,000",Nillumbik,Point,-37.70306552,145.1818925,Funding is provided for improvements to Research Preschool.,0.4,False,True,Nillumbik
I_0019,Expanding access to tech schools,Education,Department of Education,School Education ,$116 million*,Frankston,LGA,-38.14690712,145.1355185,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. ",116.0,True,True,Frankston
I_0600,Expanding access to tech schools,Education,Department of Education,School Education ,$116 million*,Hume,LGA,-37.6295592,144.8364425,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. ",116.0,True,True,Hume
I_0601,Expanding access to tech schools,Education,Department of Education,School Education ,$116 million*,Warrnambool,LGA,-38.37221547,142.4762805,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. ",116.0,True,True,Warrnambool
I_0602,Expanding access to tech schools,Education,Department of Education,School Education ,$116 million*,Greater Dandenong,LGA,-37.98487721,145.214065,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. ",116.0,True,True,Greater Dandenong
I_0603,Expanding access to tech schools,Education,Department of Education,School Education ,$116 million*,Brimbank,LGA,-37.75882968,144.8105392,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. ",116.0,True,True,Brimbank
I_0604,Expanding access to tech schools,Education,Department of Education,School Education ,$116 million*,Wangaratta,LGA,-36.35932499,146.3156353,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. ",116.0,True,True,Wangaratta
I_0025,Holy Trinity Primary School,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Hume,Point,-37.58524154,144.7057926,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Hume
I_0027,"Mary, Queen of Heaven Primary School",Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Hume,Point,-37.64022153,144.8868758,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Hume
I_0026,"Kolbe College, new campus (Mickleham)",Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Hume,LGA,-37.53475211,144.9059745,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Hume
I_0028,New Catholic Primary school (Wollert),Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Whittlesea,LGA,-37.63779407,145.0268268,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Whittlesea
I_0029,Our Lady Help of Christians Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Warrnambool,Point,-38.38508485,142.5198613,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Warrnambool
I_0030,Sacred Heart Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Mildura,Point,-34.18748255,142.1518398,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Mildura
I_0031,Sacred Heart Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Bayside,Point,-37.95127851,145.0079982,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Bayside
I_0032,Sacred Heart Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Brimbank,Point,-37.73746701,144.7996422,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Brimbank
I_0033,St Bernard’s Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Moorabool,Point,-37.67235263,144.4358698,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Moorabool
I_0034,St Brigid’s College ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Horsham,Point,-36.71725057,142.2081971,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Horsham
I_0035,St Francis Xavier Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Greater Geelong,Point,-38.0718327,144.3581894,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Greater Geelong
I_0036,St John the Baptist Primary School,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Knox,Point,-37.88623546,145.2957781,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Knox
I_0037,St Joseph’s Primary School,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Knox,Point,-37.86253148,145.2756065,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Knox
I_0038,St Jude the Apostle School,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Knox,Point,-37.88917343,145.2258828,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Knox
I_0039,St Lawrence of Brindisi Primary School,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Melton,Point,-37.73266566,144.5716714,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Melton
I_0040,St Margaret’s Primary School,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Maribyrnong,Point,-37.7665948,144.8916682,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Maribyrnong
I_0041,St Michael’s Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Melbourne,Point,-37.79344575,144.9462429,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Melbourne
I_0042,St Monica’s Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Moonee Valley,Point,-37.75958746,144.9225892,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Moonee Valley
I_0043,St Peter’s Primary School ,Education,Department of Education,Non-Government Schools Capital Fund,$450 million*,Moonee Valley,Point,-37.74431618,144.8594904,"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria.",450.0,True,True,Moonee Valley
I_0505,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Hepburn,LGA,-37.41925594,143.8933208,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Creswick-Clunes.",991.0,True,True,Hepburn
I_0506,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Greater Dandenong,LGA,-37.98464706,145.2139748,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Dandenong.",991.0,True,True,Greater Dandenong
I_0507,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,South Gippsland,LGA,-38.65122368,146.2009647,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Foster.",991.0,True,True,South Gippsland
I_0508,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Frankston,LGA,-38.12426296,145.147335,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Frankston North.",991.0,True,True,Frankston
I_0509,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Merri-bek,LGA,-37.70618478,144.9161376,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Glenroy.",991.0,True,True,Merri-bek
I_0510,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Golden Plains,LGA,-37.86559885,143.8193982,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Golden Plains.",991.0,True,True,Golden Plains
I_0511,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Casey,LGA,-38.00604364,145.2723442,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Hallam.",991.0,True,True,Casey
I_0512,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Casey,LGA,-38.05105043,145.255334,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Hampton Park-Lynbrook.",991.0,True,True,Casey
I_0513,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Banyule,LGA,-37.74159943,145.0422356,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Heidelberg West.",991.0,True,True,Banyule
I_0514,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Brimbank,LGA,-37.73334772,144.7658056,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Kings Park.",991.0,True,True,Brimbank
I_0515,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Whittlesea,LGA,-37.66542121,145.0163525,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Lalor.",991.0,True,True,Whittlesea
I_0516,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Loddon,LGA,-36.30098105,143.8032022,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Loddon.",991.0,True,True,Loddon
I_0517,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Central Goldfields,LGA,-37.04836282,143.7363608,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Maryborough.",991.0,True,True,Central Goldfields
I_0518,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Melton,LGA,-37.70267585,144.5748148,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Melton South.",991.0,True,True,Melton
I_0519,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Mildura,LGA,-34.20503481,142.1384073,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Mildura.",991.0,True,True,Mildura
I_0520,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Greater Dandenong,LGA,-37.96503936,145.1733009,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Noble Park East.",991.0,True,True,Greater Dandenong
I_0521,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Moira,LGA,-36.08577722,145.4398208,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Numurkah.",991.0,True,True,Moira
I_0522,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Greater Geelong,LGA,-38.11562165,144.6579517,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portarlington.",991.0,True,True,Greater Geelong
I_0523,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Glenelg,LGA,-38.36110991,141.6049159,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portland.",991.0,True,True,Glenelg
I_0524,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Darebin,LGA,-37.71674992,145.0076339,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Reservoir.",991.0,True,True,Darebin
I_0525,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Campaspe,LGA,-36.3592806,144.7013814,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Rochester.",991.0,True,True,Campaspe
I_0526,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Melton,LGA,-37.7338795,144.6667228,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Rockbank-Mount Cottrell.",991.0,True,True,Melton
